name,type,value,date,img_src
WN,中国,2314,2001-01,https://api.fifa.com/api/v1/picture/flags-sq-4/chn
LJ,中国,2162,2001-01,https://api.fifa.com/api/v1/picture/flags-sq-4/chn
ZYN,中国,2060,2001-01,https://api.fifa.com/api/v1/picture/flags-sq-4/chn
SJ,中国香港,2056,2001-01,https://api.fifa.com/api/v1/picture/flags-sq-4/chn
CJ,中国台湾,2028,2001-01,https://api.fifa.com/api/v1/picture/flags-sq-4/chn
YY,中国,2010,2001-01,https://api.fifa.com/api/v1/picture/flags-sq-4/chn
BLS,克罗地亚,1956,2001-01,https://api.fifa.com/api/v1/picture/flags-sq-4/cro
JJH,韩国,1933,2001-01,https://api.fifa.com/api/v1/picture/flags-sq-4/kor
SDF,罗马尼亚,1890,2001-01,https://api.fifa.com/api/v1/picture/flags-sq-4/rou
QHGQ,德国,1890,2001-01,https://api.fifa.com/api/v1/picture/flags-sq-4/ger
